transaction_id;date;region;city;merchant_id;merchant_category;channel;payment_method;customer_segment;acquisition_source;device_type;amount_kzt;;;;
25;2024-01-01;Kostanay;Karaganda;3487;electronics;social_media;card_kz;salary_worker;organic;android;12698.81;;;;
26;2024-01-01;Kostanay;Almaty;1791;ecommerce_general;marketplace;qr_kaspi;student;instagram;ios;23438.07;;;;
27;2024-01-01;Pavlodar;Atyrau;2248;ecommerce_general;online_store;qr_kaspi;student;google_ads;ios;12513.35;;;;
28;2024-01-01;Kostanay;Astana;1444;grocery;social_media;cash;salary_worker;referral;android;5372.5;;;;
29;2024-01-01;Pavlodar;Astana;4566;retail_fashion;offline_pos;card_kz;entrepreneur;referral;web;9756.66;;;;
30;2024-01-01;Taraz;Shymkent;1128;grocery;offline_pos;cash;retired;tiktok;unknown;6208.88;;;;
31;2024-01-01;Shymkent;Aktobe;3588;food_delivery;online_store;card_kz;entrepreneur;referral;android;16740.37;;;;
32;2024-01-01;Pavlodar;Shymkent;3657;retail_fashion;social_media;qr_kaspi;entrepreneur;instagram;android;32265.69;;;;
33;2024-01-01;Oskemen;Atyrau;4767;digital_services;online_store;qr_kaspi;student;organic;web;16074.24;;;;
34;2024-01-01;Taraz;Almaty;3529;electronics;online_store;qr_kaspi;student;google_ads;android;41781.34;;;;
35;2024-01-01;Kostanay;Pavlodar;4067;ride_hailing;offline_pos;card_kz;salary_worker;organic;web;5540.29;;;;
36;2024-01-01;Karaganda;Kostanay;3006;digital_services;marketplace;wallet;entrepreneur;google_ads;ios;13633.06;;;;
37;2024-01-01;Aktobe;Pavlodar;3671;grocery;online_store;card_kz;salary_worker;google_ads;web;5171.23;;;;
38;2024-01-01;Aktobe;Karaganda;2181;ecommerce_general;marketplace;qr_kaspi;salary_worker;organic;ios;14848.05;;;;
39;2024-01-01;Almaty;Astana;2458;grocery;offline_pos;card_kz;salary_worker;instagram;web;8487.5;;;;
40;2024-01-01;Astana;Aktobe;4762;grocery;social_media;qr_kaspi;salary_worker;google_ads;web;8056.38;;;;
41;2024-01-01;Aktobe;Taraz;1938;electronics;online_store;card_kz;retired;tiktok;web;12368.81;;;;
42;2024-01-01;Pavlodar;Karaganda;4348;retail_fashion;marketplace;card_kz;salary_worker;instagram;web;14267.27;;;;
43;2024-01-01;Almaty;Atyrau;4870;food_delivery;online_store;card_kz;retired;referral;ios;6028.08;;;;
44;2024-01-01;Oskemen;Taraz;3133;grocery;online_store;card_kz;salary_worker;organic;android;11225.94;;;;
45;2024-01-01;Astana;Taraz;1107;food_delivery;marketplace;cash;entrepreneur;instagram;android;4649.73;;;;
46;2024-01-01;Astana;Aktobe;2679;grocery;online_store;wallet;salary_worker;instagram;android;4477.61;;;;
47;2024-01-01;Taraz;Aktobe;4201;electronics;online_store;qr_kaspi;salary_worker;referral;ios;5400.04;;;;
48;2024-01-01;Karaganda;Oskemen;1187;healthcare_services;offline_pos;wallet;entrepreneur;google_ads;web;22439.62;;;;
49;2024-01-01;Astana;Taraz;3841;retail_fashion;marketplace;card_kz;salary_worker;google_ads;unknown;23754.26;;;;
50;2024-01-01;Almaty;Pavlodar;3109;retail_fashion;online_store;card_kz;student;instagram;ios;10796.14;;;;
51;2024-01-01;Kostanay;Oskemen;3960;grocery;offline_pos;card_kz;retired;google_ads;web;4919.99;;;;
52;2024-01-01;Aktobe;Kostanay;1192;grocery;online_store;wallet;salary_worker;organic;ios;9626.35;;;;
53;2024-01-01;Almaty;Kostanay;2812;ecommerce_general;offline_pos;cash;salary_worker;organic;ios;10498.3;;;;
54;2024-01-01;Taraz;Oskemen;2406;healthcare_services;offline_pos;card_kz;salary_worker;referral;ios;19020.58;;;;
55;2024-01-01;Shymkent;Atyrau;4577;grocery;social_media;qr_kaspi;salary_worker;tiktok;android;9357.83;;;;
56;2024-01-01;Almaty;Kostanay;4511;grocery;offline_pos;cash;salary_worker;google_ads;android;6850.05;;;;
57;2024-01-01;Atyrau;Oskemen;4023;electronics;online_store;card_kz;salary_worker;google_ads;ios;10200.12;;;;
58;2024-01-01;Almaty;Shymkent;2743;electronics;online_store;card_kz;salary_worker;organic;ios;22595.95;;;;
59;2024-01-01;Aktobe;Pavlodar;2260;electronics;mobile_app;wallet;student;instagram;ios;19313.65;;;;
60;2024-01-01;Astana;Aktobe;2204;education_services;online_store;card_kz;retired;organic;web;16195.56;;;;
61;2024-01-01;Shymkent;Karaganda;4072;grocery;online_store;qr_kaspi;salary_worker;organic;ios;4871.74;;;;
62;2024-01-01;Pavlodar;Aktobe;2621;travel;marketplace;cash;salary_worker;organic;android;13182.05;;;;
63;2024-01-01;Pavlodar;Taraz;2329;ecommerce_general;offline_pos;qr_kaspi;entrepreneur;organic;android;4124.39;;;;
64;2024-01-01;Astana;Oskemen;4547;ecommerce_general;online_store;qr_kaspi;entrepreneur;instagram;ios;10150.63;;;;
65;2024-01-01;Shymkent;Taraz;4969;food_delivery;marketplace;card_intl;student;tiktok;web;17090.5;;;;
66;2024-01-01;Atyrau;Karaganda;4921;food_delivery;mobile_app;card_kz;student;tiktok;web;4890.62;;;;
67;2024-01-01;Taraz;Atyrau;2971;electronics;mobile_app;card_kz;salary_worker;tiktok;unknown;10285.37;;;;
68;2024-01-01;Oskemen;Almaty;3405;digital_services;online_store;wallet;entrepreneur;instagram;web;4561.57;;;;
69;2024-01-01;Taraz;Karaganda;3853;education_services;offline_pos;card_kz;retired;offline;android;19275.44;;;;
70;2024-01-01;Almaty;Astana;4543;food_delivery;marketplace;wallet;unknown;offline;android;18207.28;;;;
71;2024-01-01;Aktobe;Taraz;3959;ecommerce_general;online_store;card_kz;salary_worker;referral;android;28089.37;;;;
72;2024-01-01;Almaty;Atyrau;4904;retail_fashion;offline_pos;card_intl;salary_worker;google_ads;ios;21696.01;;;;
73;2024-01-01;Atyrau;Aktobe;1706;healthcare_services;online_store;card_kz;entrepreneur;instagram;android;9192.77;;;;
74;2024-01-01;Atyrau;Taraz;2822;healthcare_services;online_store;qr_kaspi;student;instagram;android;31616.0;;;;
75;2024-01-01;Shymkent;Taraz;1109;healthcare_services;online_store;qr_kaspi;entrepreneur;google_ads;android;6268.22;;;;
76;2024-01-01;Astana;Atyrau;4658;ecommerce_general;mobile_app;card_kz;entrepreneur;referral;android;3234.4;;;;
77;2024-01-01;Shymkent;Shymkent;2374;electronics;social_media;qr_kaspi;salary_worker;marketplace;ios;11377.39;;;;
78;2024-01-01;Taraz;Shymkent;3246;travel;social_media;cash;retired;google_ads;android;16952.5;;;;
79;2024-01-01;Almaty;Almaty;2420;grocery;online_store;cash;entrepreneur;marketplace;ios;11895.25;;;;
80;2024-01-01;Atyrau;Kostanay;2074;education_services;offline_pos;cash;unknown;referral;web;34657.51;;;;
81;2024-01-01;Oskemen;Shymkent;2298;retail_fashion;offline_pos;qr_kaspi;entrepreneur;offline;android;4257.24;;;;
82;2024-01-01;Taraz;Pavlodar;3349;ride_hailing;online_store;card_kz;student;organic;web;9954.39;;;;
83;2024-01-01;Astana;Kostanay;4286;ecommerce_general;social_media;card_kz;student;google_ads;ios;10450.83;;;;
84;2024-01-01;Oskemen;Atyrau;2424;food_delivery;online_store;qr_kaspi;salary_worker;instagram;web;5744.2;;;;
85;2024-01-01;Astana;Almaty;1280;travel;offline_pos;qr_kaspi;entrepreneur;offline;ios;27534.82;;;;
86;2024-01-01;Kostanay;Shymkent;3021;education_services;mobile_app;card_kz;entrepreneur;tiktok;ios;4803.82;;;;
87;2024-01-01;Aktobe;Almaty;1496;retail_fashion;online_store;card_kz;student;organic;android;29174.43;;;;
88;2024-01-01;Almaty;Astana;2862;food_delivery;marketplace;cash;entrepreneur;instagram;ios;8144.45;;;;
89;2024-01-01;Almaty;Oskemen;4658;food_delivery;online_store;card_kz;salary_worker;instagram;web;13397.6;;;;
90;2024-01-01;Astana;Aktobe;3600;ecommerce_general;online_store;card_kz;retired;organic;ios;27982.74;;;;
91;2024-01-01;Oskemen;Aktobe;2715;electronics;social_media;card_kz;entrepreneur;referral;web;9558.57;;;;
92;2024-01-01;Taraz;Kostanay;1227;retail_fashion;online_store;card_intl;student;marketplace;android;35059.83;;;;
93;2024-01-01;Karaganda;Aktobe;2378;healthcare_services;online_store;card_kz;retired;organic;android;39267.64;;;;
94;2024-01-01;Astana;Pavlodar;3406;electronics;online_store;qr_kaspi;salary_worker;referral;ios;42962.02;;;;
95;2024-01-01;Oskemen;Shymkent;1188;ecommerce_general;offline_pos;card_kz;entrepreneur;google_ads;android;9722.8;;;;
96;2024-01-01;Shymkent;Pavlodar;2521;healthcare_services;online_store;wallet;retired;marketplace;android;17050.89;;;;
97;2024-01-01;Almaty;Shymkent;2363;ride_hailing;online_store;cash;retired;organic;web;7290.59;;;;
98;2024-01-01;Atyrau;Kostanay;4470;ride_hailing;online_store;cash;salary_worker;referral;android;7590.07;;;;
99;2024-01-01;Almaty;Shymkent;1134;food_delivery;mobile_app;qr_kaspi;entrepreneur;instagram;android;4360.52;;;;
100;2024-01-01;Shymkent;Pavlodar;2007;retail_fashion;marketplace;card_kz;salary_worker;referral;web;20520.95;;;;
101;2024-01-01;Shymkent;Shymkent;4441;retail_fashion;social_media;qr_kaspi;salary_worker;google_ads;ios;13305.12;;;;
102;2024-01-02;Aktobe;Karaganda;2487;retail_fashion;offline_pos;cash;salary_worker;organic;ios;10694.75;;;;
103;2024-01-02;Taraz;Kostanay;2572;grocery;social_media;card_kz;student;marketplace;android;7814.93;;;;
104;2024-01-02;Kostanay;Taraz;2858;ecommerce_general;social_media;card_kz;unknown;tiktok;android;4948.44;;;;
105;2024-01-02;Aktobe;Almaty;1665;education_services;online_store;card_kz;salary_worker;google_ads;android;35508.34;;;;
106;2024-01-02;Oskemen;Taraz;3686;retail_fashion;online_store;qr_kaspi;retired;organic;web;43042.91;;;;
107;2024-01-02;Oskemen;Oskemen;2953;ecommerce_general;online_store;card_kz;salary_worker;google_ads;android;5332.95;;;;
108;2024-01-02;Shymkent;Aktobe;4212;education_services;online_store;card_kz;salary_worker;tiktok;ios;25574.46;;;;
109;2024-01-02;Aktobe;Almaty;2383;food_delivery;offline_pos;qr_kaspi;retired;instagram;android;9952.49;;;;
110;2024-01-02;Almaty;Astana;2795;grocery;social_media;cash;student;organic;web;6629.17;;;;
111;2024-01-02;Aktobe;Almaty;4107;ecommerce_general;marketplace;card_kz;salary_worker;tiktok;web;10663.73;;;;
112;2024-01-02;Karaganda;Oskemen;2830;healthcare_services;mobile_app;qr_kaspi;salary_worker;offline;android;13605.97;;;;
113;2024-01-02;Astana;Atyrau;1621;food_delivery;online_store;card_kz;salary_worker;organic;ios;3080.69;;;;
114;2024-01-02;Oskemen;Aktobe;4560;ecommerce_general;online_store;card_kz;entrepreneur;instagram;android;24890.4;;;;
115;2024-01-02;Aktobe;Atyrau;1992;healthcare_services;offline_pos;wallet;salary_worker;tiktok;android;20615.32;;;;
116;2024-01-02;Astana;Taraz;2078;ecommerce_general;mobile_app;card_kz;student;organic;web;25966.8;;;;
117;2024-01-02;Almaty;Karaganda;3937;ecommerce_general;online_store;card_kz;salary_worker;google_ads;android;7119.67;;;;
118;2024-01-02;Aktobe;Almaty;4135;ecommerce_general;social_media;card_kz;retired;marketplace;ios;12946.88;;;;
119;2024-01-02;Atyrau;Kostanay;2692;ride_hailing;social_media;card_kz;salary_worker;organic;ios;3631.86;;;;
120;2024-01-02;Aktobe;Karaganda;3138;food_delivery;offline_pos;qr_kaspi;student;instagram;web;7511.29;;;;
121;2024-01-02;Oskemen;Aktobe;2748;grocery;social_media;cash;student;google_ads;ios;15230.65;;;;
122;2024-01-02;Kostanay;Pavlodar;4176;food_delivery;social_media;qr_kaspi;salary_worker;tiktok;android;12408.53;;;;
123;2024-01-02;Astana;Almaty;1902;healthcare_services;online_store;card_kz;entrepreneur;referral;android;24333.15;;;;
124;2024-01-02;Taraz;Pavlodar;1824;healthcare_services;online_store;wallet;entrepreneur;instagram;android;8471.2;;;;
125;2024-01-02;Oskemen;Shymkent;4246;travel;online_store;cash;salary_worker;referral;android;15392.87;;;;
126;2024-01-02;Aktobe;Taraz;2018;ecommerce_general;online_store;cash;entrepreneur;offline;web;13023.16;;;;
127;2024-01-02;Aktobe;Aktobe;1603;grocery;online_store;card_kz;entrepreneur;referral;web;7226.89;;;;
128;2024-01-02;Oskemen;Aktobe;3509;electronics;social_media;wallet;salary_worker;tiktok;web;16423.51;;;;
129;2024-01-02;Oskemen;Karaganda;4346;healthcare_services;online_store;cash;salary_worker;instagram;web;15745.55;;;;
130;2024-01-02;Kostanay;Atyrau;4859;digital_services;online_store;card_kz;entrepreneur;organic;web;26459.26;;;;
131;2024-01-02;Aktobe;Pavlodar;3174;grocery;online_store;card_kz;salary_worker;instagram;ios;10234.07;;;;
132;2024-01-02;Shymkent;Kostanay;3816;ecommerce_general;social_media;wallet;salary_worker;referral;web;11302.69;;;;
133;2024-01-02;Astana;Atyrau;2609;food_delivery;online_store;qr_kaspi;salary_worker;google_ads;android;10392.86;;;;
134;2024-01-02;Aktobe;Atyrau;3458;electronics;social_media;card_kz;salary_worker;instagram;android;27862.37;;;;
135;2024-01-02;Pavlodar;Astana;2910;retail_fashion;offline_pos;card_kz;salary_worker;instagram;web;9015.0;;;;
136;2024-01-02;Oskemen;Karaganda;4777;electronics;mobile_app;qr_kaspi;student;referral;android;21212.05;;;;
137;2024-01-02;Karaganda;Astana;3434;education_services;mobile_app;qr_kaspi;retired;instagram;android;8905.84;;;;
138;2024-01-02;Aktobe;Atyrau;2804;retail_fashion;social_media;card_intl;salary_worker;referral;ios;20116.07;;;;
139;2024-01-02;Aktobe;Atyrau;4967;electronics;online_store;qr_kaspi;entrepreneur;tiktok;android;14787.72;;;;
140;2024-01-02;Kostanay;Shymkent;4468;food_delivery;online_store;card_kz;salary_worker;referral;android;5861.39;;;;
141;2024-01-02;Almaty;Karaganda;2974;digital_services;online_store;qr_kaspi;salary_worker;tiktok;web;9742.94;;;;
142;2024-01-02;Astana;Aktobe;2405;education_services;social_media;qr_kaspi;retired;google_ads;unknown;66816.49;;;;
143;2024-01-02;Almaty;Shymkent;3914;grocery;mobile_app;qr_kaspi;entrepreneur;tiktok;android;16890.08;;;;
144;2024-01-02;Atyrau;Karaganda;3875;ride_hailing;online_store;qr_kaspi;salary_worker;tiktok;ios;4743.44;;;;
145;2024-01-02;Pavlodar;Aktobe;3794;digital_services;social_media;qr_kaspi;retired;tiktok;android;16901.65;;;;
146;2024-01-02;Oskemen;Kostanay;4708;grocery;offline_pos;card_intl;salary_worker;tiktok;android;2971.67;;;;
147;2024-01-02;Almaty;Karaganda;1299;grocery;social_media;qr_kaspi;student;google_ads;android;6498.48;;;;
148;2024-01-02;Pavlodar;Oskemen;1197;ride_hailing;social_media;qr_kaspi;salary_worker;offline;android;7909.55;;;;
149;2024-01-02;Shymkent;Karaganda;4032;grocery;offline_pos;qr_kaspi;entrepreneur;referral;web;8203.78;;;;
150;2024-01-02;Oskemen;Atyrau;2409;food_delivery;mobile_app;card_kz;retired;instagram;ios;9602.0;;;;
151;2024-01-02;Pavlodar;Kostanay;4144;ecommerce_general;online_store;card_kz;unknown;tiktok;android;10688.8;;;;
152;2024-01-02;Astana;Aktobe;2439;food_delivery;mobile_app;card_kz;student;google_ads;ios;10511.3;;;;
153;2024-01-02;Aktobe;Taraz;2083;electronics;offline_pos;card_kz;entrepreneur;google_ads;ios;8775.13;;;;
154;2024-01-02;Aktobe;Oskemen;4790;ecommerce_general;mobile_app;qr_kaspi;retired;tiktok;web;5474.66;;;;
155;2024-01-02;Karaganda;Taraz;3354;digital_services;mobile_app;qr_kaspi;unknown;organic;android;6139.2;;;;
156;2024-01-02;Taraz;Astana;2634;retail_fashion;marketplace;qr_kaspi;entrepreneur;organic;android;8148.56;;;;
157;2024-01-02;Almaty;Kostanay;1567;ride_hailing;marketplace;qr_kaspi;salary_worker;instagram;ios;10433.8;;;;
158;2024-01-02;Pavlodar;Oskemen;1729;ecommerce_general;online_store;qr_kaspi;salary_worker;google_ads;ios;11686.74;;;;
159;2024-01-02;Almaty;Kostanay;3790;retail_fashion;offline_pos;card_kz;salary_worker;instagram;android;13787.15;;;;
160;2024-01-02;Aktobe;Taraz;1761;food_delivery;marketplace;wallet;student;instagram;web;51744.19;;;;
161;2024-01-02;Taraz;Karaganda;3942;ecommerce_general;offline_pos;card_kz;student;instagram;android;16647.05;;;;
162;2024-01-02;Karaganda;Almaty;1549;electronics;online_store;qr_kaspi;salary_worker;instagram;android;17000.36;;;;
163;2024-01-02;Taraz;Astana;1764;ecommerce_general;offline_pos;wallet;student;instagram;android;12484.66;;;;
164;2024-01-02;Astana;Almaty;3950;electronics;online_store;card_intl;entrepreneur;tiktok;ios;40455.31;;;;
165;2024-01-02;Oskemen;Kostanay;3299;electronics;marketplace;qr_kaspi;salary_worker;google_ads;android;11807.13;;;;
166;2024-01-02;Aktobe;Astana;2628;ecommerce_general;social_media;qr_kaspi;student;tiktok;ios;17711.7;;;;
167;2024-01-02;Shymkent;Shymkent;3013;food_delivery;online_store;wallet;student;google_ads;android;11834.95;;;;
168;2024-01-02;Almaty;Pavlodar;3678;electronics;mobile_app;card_kz;student;instagram;android;41390.6;;;;
169;2024-01-02;Kostanay;Oskemen;4790;healthcare_services;mobile_app;qr_kaspi;salary_worker;organic;ios;16996.53;;;;
170;2024-01-02;Astana;Astana;4825;food_delivery;marketplace;card_intl;entrepreneur;tiktok;unknown;2586.91;;;;
171;2024-01-02;Astana;Karaganda;3687;grocery;marketplace;card_kz;unknown;google_ads;android;7509.13;;;;
172;2024-01-02;Kostanay;Kostanay;3651;healthcare_services;marketplace;qr_kaspi;salary_worker;instagram;web;19045.24;;;;
173;2024-01-02;Aktobe;Aktobe;2718;ride_hailing;mobile_app;qr_kaspi;salary_worker;google_ads;web;5598.07;;;;
174;2024-01-02;Atyrau;Shymkent;4474;ecommerce_general;social_media;card_intl;entrepreneur;instagram;web;6137.76;;;;
175;2024-01-02;Almaty;Oskemen;4901;grocery;mobile_app;card_kz;unknown;tiktok;android;4694.88;;;;
176;2024-01-02;Atyrau;Oskemen;4663;ride_hailing;online_store;card_kz;retired;organic;android;8440.38;;;;
177;2024-01-02;Almaty;Astana;1601;ecommerce_general;marketplace;card_kz;salary_worker;google_ads;ios;8575.4;;;;
178;2024-01-02;Shymkent;Pavlodar;3807;retail_fashion;social_media;card_intl;salary_worker;instagram;android;8154.41;;;;
179;2024-01-02;Taraz;Aktobe;2355;travel;online_store;card_kz;student;google_ads;android;32326.79;;;;
180;2024-01-03;Atyrau;Taraz;4133;digital_services;online_store;qr_kaspi;student;google_ads;web;6922.54;;;;
181;2024-01-03;Astana;Almaty;2824;grocery;social_media;card_kz;student;google_ads;ios;14019.97;;;;
182;2024-01-03;Almaty;Kostanay;1921;retail_fashion;online_store;card_intl;student;marketplace;android;15113.8;;;;
183;2024-01-03;Almaty;Atyrau;2041;retail_fashion;offline_pos;qr_kaspi;entrepreneur;organic;android;11231.02;;;;
184;2024-01-03;Atyrau;Atyrau;2975;electronics;online_store;qr_kaspi;student;google_ads;ios;14360.97;;;;
185;2024-01-03;Shymkent;Atyrau;1071;healthcare_services;social_media;qr_kaspi;salary_worker;instagram;android;21524.54;;;;
186;2024-01-03;Karaganda;Kostanay;3633;food_delivery;online_store;card_kz;salary_worker;referral;web;8822.16;;;;
187;2024-01-03;Kostanay;Shymkent;2240;ecommerce_general;online_store;qr_kaspi;entrepreneur;tiktok;web;21629.1;;;;
188;2024-01-03;Kostanay;Atyrau;1459;food_delivery;mobile_app;wallet;salary_worker;referral;android;9554.98;;;;
189;2024-01-03;Shymkent;Aktobe;2653;education_services;mobile_app;wallet;student;tiktok;unknown;33276.19;;;;
190;2024-01-03;Taraz;Karaganda;2324;retail_fashion;online_store;card_intl;unknown;instagram;android;38161.32;;;;
191;2024-01-03;Oskemen;Taraz;3795;ecommerce_general;offline_pos;wallet;salary_worker;instagram;web;8988.47;;;;
192;2024-01-03;Almaty;Pavlodar;1955;food_delivery;marketplace;card_kz;salary_worker;offline;ios;11087.89;;;;
193;2024-01-03;Oskemen;Atyrau;1608;electronics;social_media;cash;salary_worker;referral;web;45567.93;;;;
194;2024-01-03;Aktobe;Pavlodar;4882;food_delivery;marketplace;cash;salary_worker;referral;ios;17631.57;;;;
195;2024-01-03;Karaganda;Shymkent;4257;ecommerce_general;online_store;wallet;retired;organic;web;8312.12;;;;
196;2024-01-03;Karaganda;Almaty;2250;education_services;marketplace;wallet;student;instagram;android;23345.1;;;;
197;2024-01-03;Taraz;Pavlodar;1350;healthcare_services;mobile_app;qr_kaspi;entrepreneur;organic;ios;82401.97;;;;
198;2024-01-03;Karaganda;Taraz;3232;electronics;offline_pos;card_kz;salary_worker;tiktok;android;23233.6;;;;
199;2024-01-03;Oskemen;Kostanay;4245;food_delivery;marketplace;card_kz;retired;tiktok;web;9076.19;;;;
200;2024-01-03;Karaganda;Taraz;4971;travel;offline_pos;qr_kaspi;entrepreneur;instagram;unknown;26385.17;;;;
201;2024-01-03;Shymkent;Almaty;4882;retail_fashion;marketplace;qr_kaspi;student;tiktok;android;18408.32;;;;
202;2024-01-03;Atyrau;Astana;4386;ecommerce_general;offline_pos;cash;retired;instagram;ios;6934.45;;;;
203;2024-01-03;Oskemen;Karaganda;2251;grocery;marketplace;card_kz;salary_worker;tiktok;ios;2885.57;;;;
204;2024-01-03;Oskemen;Kostanay;3001;electronics;marketplace;qr_kaspi;salary_worker;organic;ios;20472.96;;;;
205;2024-01-03;Karaganda;Aktobe;1034;grocery;online_store;card_kz;student;tiktok;web;10055.6;;;;
206;2024-01-03;Shymkent;Atyrau;1971;ride_hailing;mobile_app;qr_kaspi;salary_worker;instagram;unknown;4686.5;;;;
207;2024-01-03;Taraz;Taraz;3781;ride_hailing;offline_pos;card_kz;student;offline;web;1877.72;;;;
208;2024-01-03;Shymkent;Aktobe;3778;electronics;online_store;card_kz;salary_worker;referral;ios;29038.22;;;;
209;2024-01-03;Almaty;Astana;3329;ecommerce_general;marketplace;cash;salary_worker;instagram;web;11396.33;;;;
210;2024-01-03;Astana;Almaty;2497;ecommerce_general;marketplace;wallet;entrepreneur;google_ads;ios;8611.33;;;;
211;2024-01-03;Karaganda;Shymkent;1746;travel;marketplace;cash;retired;referral;web;16450.03;;;;
212;2024-01-03;Taraz;Shymkent;1718;ride_hailing;offline_pos;qr_kaspi;salary_worker;google_ads;ios;6604.13;;;;
213;2024-01-03;Pavlodar;Almaty;4642;ecommerce_general;online_store;card_kz;student;tiktok;android;18443.84;;;;
214;2024-01-03;Kostanay;Pavlodar;2946;food_delivery;online_store;card_kz;entrepreneur;tiktok;android;10536.78;;;;
215;2024-01-03;Pavlodar;Aktobe;4355;grocery;online_store;wallet;retired;google_ads;android;14007.36;;;;
216;2024-01-03;Pavlodar;Astana;4502;grocery;marketplace;wallet;salary_worker;google_ads;android;5932.31;;;;
217;2024-01-03;Oskemen;Astana;2179;retail_fashion;online_store;card_kz;salary_worker;instagram;web;13117.92;;;;
218;2024-01-03;Astana;Atyrau;2515;grocery;offline_pos;card_kz;student;google_ads;web;3751.63;;;;
219;2024-01-03;Atyrau;Shymkent;4022;healthcare_services;offline_pos;cash;salary_worker;tiktok;web;13520.34;;;;
220;2024-01-03;Aktobe;Pavlodar;2369;electronics;online_store;card_kz;student;tiktok;web;6847.36;;;;
221;2024-01-03;Atyrau;Oskemen;3062;travel;offline_pos;cash;salary_worker;google_ads;unknown;11819.26;;;;
222;2024-01-03;Pavlodar;Pavlodar;1373;food_delivery;offline_pos;qr_kaspi;salary_worker;tiktok;web;16838.73;;;;
223;2024-01-03;Oskemen;Almaty;1819;ecommerce_general;offline_pos;card_intl;student;instagram;ios;18793.55;;;;
224;2024-01-03;Shymkent;Pavlodar;2773;food_delivery;offline_pos;card_kz;entrepreneur;tiktok;web;28093.54;;;;
225;2024-01-03;Aktobe;Taraz;3550;food_delivery;online_store;card_kz;salary_worker;google_ads;web;4115.23;;;;
226;2024-01-03;Almaty;Karaganda;4362;food_delivery;marketplace;cash;student;organic;ios;8217.1;;;;
227;2024-01-03;Aktobe;Taraz;2955;grocery;online_store;qr_kaspi;salary_worker;organic;android;12010.62;;;;
228;2024-01-03;Atyrau;Karaganda;1900;ecommerce_general;online_store;qr_kaspi;entrepreneur;google_ads;unknown;5315.63;;;;
229;2024-01-03;Oskemen;Pavlodar;2902;ride_hailing;social_media;card_kz;unknown;instagram;android;11580.78;;;;
230;2024-01-03;Taraz;Aktobe;4198;grocery;online_store;cash;salary_worker;tiktok;ios;4947.85;;;;
231;2024-01-03;Pavlodar;Almaty;3918;digital_services;mobile_app;qr_kaspi;student;referral;web;13462.0;;;;
232;2024-01-03;Pavlodar;Aktobe;4277;ride_hailing;social_media;card_kz;entrepreneur;tiktok;web;4116.06;;;;
